Dimension,Description Of The Goods/Services,Rank,Share in total (%)
Goods,Electrical machinery,2,7.87%
Goods,Gems and jewellery,3,7.52%
Goods,Mechanical machinery,4,6.88%
Goods,Petroleum,1,20.04%
Goods,Pharma products,5,5.06%
Services,Business Services,2,25.97%
Services,Financial Services,5,2.36%
Services,Software Services,1,47.01%
Services,Transportation,4,8.56%
Services,Travel,3,9.88%
